"","Module_1","Module_2","Module_3","Module_4","Module_5","Module_6","Module_7","Module_8","Module_9","Module_10","Module_11"
"TCGA-05-4424-01A",-0.106081396355291,1.61735979267605,-1.31454125174623,-1.53794466152848,1.130986693952,-0.824464497589568,3.66466925687687,-0.510584904604687,-0.772263967877555,-0.425415083648391,-1.10744732121785
"TCGA-05-4425-01A",1.19518793626575,-0.695908956171482,0.876632127388875,-0.238771768207812,-0.363227488059058,2.22020631255931,0.869916455295825,-1.27488426783366,-2.13157333016834,-2.30761079093472,-0.272288199429043
"TCGA-05-4426-01A",2.78278087561999,-0.972814872883701,1.85487818234228,0.104433240413121,1.34715439790232,-0.487176596852848,1.99517064489336,-0.51143068841807,0.880157027144788,-0.461493212692739,-0.533449981537562
"TCGA-05-4427-01A",1.06004788937627,1.54312736738412,-1.9014471653488,-2.28518611286092,-0.0182414843908769,-1.5776937534933,3.74821728534927,0.318768139618827,0.774275643697856,1.97221537031785,-0.91106270698818
"TCGA-05-4430-01A",1.07713012184904,-0.914103260866696,2.36172585957139,0.908637150946645,1.62417515951241,-0.211024963523914,-0.0601830748283643,2.08803312229178,0.287775355716803,1.51248861643147,0.801916694519469
"TCGA-05-4432-01A",-0.688303121453707,0.888261326706676,-1.65041503042132,-0.136415758656708,0.256785688254795,-1.01507939988702,-0.552667569357811,0.24035485984904,-0.761821032943278,2.21149737953263,-0.0550910941186986
"TCGA-05-4433-01A",3.10111249513714,2.51898987165798,0.629488100557191,-3.74716325120493,0.222614836308256,1.89623572321123,3.69045421855233,2.35145638275866,-1.00510650673378,-2.24978611040448,1.22839542034736
"TCGA-05-4434-01A",0.00459572758978002,0.788497876556768,0.154507965662473,0.883748972204439,-0.976446440055303,1.37240464046999,2.11364977856865,-0.769278888688543,1.47856647290091,1.36142056474097,-0.679484783090282
"TCGA-05-5420-01A",-1.45023280528448,-1.1734218339265,-1.44043086514781,1.95211509059876,-1.57682971491088,2.85024066438814,-2.31736430833918,-0.69626528973324,0.369673630595145,-1.45647804178161,-0.659683428255862
"TCGA-05-5423-01A",-0.868558679042196,-0.915222446684713,1.33288990559668,1.66592217055791,-0.930912218743548,1.12581083773727,-2.16251141972974,0.320539087764391,0.140049926270074,-1.93706301354333,1.24681888484741
"TCGA-05-5425-01A",-1.90633242659954,-1.27354835866394,-1.94863615345413,1.81991088602153,-1.5455620840825,2.12506770861637,-1.42247652630269,-2.46713201533772,1.47444814058499,0.467886550936309,-1.29307333591266
"TCGA-05-5428-01A",-1.90441015158997,-1.89228741946168,-1.75636227470168,1.82632129748933,-1.84699614796545,-0.764742360453634,-3.0037146003026,-1.54371672620744,2.00464903464165,-1.17405246932331,-0.953795083418309
"TCGA-05-5429-01A",-1.41171730258878,-1.37644581315552,-1.09841973493906,0.366974274403073,-1.44875090679188,-0.30544910962883,-2.1029173527565,-1.36529080239611,0.259283114481782,-0.207698450735245,-0.248326242567618
"TCGA-05-5715-01A",-0.551296651629333,1.22383293727326,1.34702047174269,-0.38364888303517,1.05338019344816,-1.10995460882153,-1.67706471038253,0.496478163866612,-1.56132295682081,-2.22087612007884,0.182844429579668
"TCGA-35-3615-01A",-1.09578394255668,-1.83980728394244,3.34577780809369,0.270380345173879,1.29605361129833,-1.06765839130579,-2.70672004897208,2.76441236229935,-2.65384165220376,-3.05793582930136,2.34023304783297
"TCGA-35-4122-01A",-1.92131243976836,-1.92798304251737,-1.59448179594539,2.33951873305843,-1.58200916497366,2.34948208738483,-2.7459562677316,-1.46099627721325,1.69841073564395,2.21728390962096,-1.19571541201161
"TCGA-35-4123-01A",-1.63306898622862,-1.68083375209099,-1.744929841712,1.82709024070433,-1.92149677725506,2.1373402125,-2.06418085034918,-1.68862493566283,1.65748562833646,2.2149856417882,-0.707573157405572
"TCGA-35-5375-01A",-2.33690578934334,-2.15655854661603,-2.28459918439151,1.95359534586129,-2.51758030977249,0.661868784998494,-3.02784992514302,-2.24370708520739,1.62843183888981,-0.401109358128225,-1.73582157256351
"TCGA-38-4625-01A",-2.05884633940317,0.0484864144738679,-2.86154075017941,2.64993469976013,-2.05190436233195,0.954203711944645,-1.15728860969854,-2.91768941733067,2.24715890711483,1.34222702432495,-1.91978136080148
